SchoolCode,SchoolName,StreetNumber,StreetName,SuburbId,StateId,CountryId,LevelOfSchooling,Latitude,Longitude,SchoolSpecialtyType,SchoolSubType,SchoolGender,ICSEAValue
1001,Abbotsford Public School,348,Great North Road,8,5,2,Primary School,-33.852728,151.131206,Comprehensive,Kinder to Year 6,Coed,1127
1002,Aberdeen Public School,8,Graeme Street,15,5,2,Primary School,-32.166098,150.888095,Comprehensive,Kinder to Year 6,Coed,917
1003,Abermain Public School,6,Goulburn Street,22,5,2,Primary School,-32.808920,151.426499,Comprehensive,Kinder to Year 6,Coed,887
1007,Adaminaby Public School,9,Cosgrove Street,36,5,2,Primary School,-35.993292,148.776721,Comprehensive,Kinder to Year 6,Coed,973
1008,Adamstown Public School,1A,Bryant Street,38,5,2,Primary School,-32.932213,151.730971,Comprehensive,Kinder to Year 6,Coed,1024
1009,Adelong Public School,50,Gilmore Street,50,5,2,Primary School,-35.312333,148.062802,Comprehensive,Kinder to Year 6,Coed,966
3640,Afterlee Public School,2078,Afterlee Road,55,5,2,Primary School,-28.582276,152.817857,Comprehensive,Kinder to Year 6,Coed,960
8493,Airds High School,2,Briar Road,63,5,2,Secondary School,-34.086883,150.827109,Comprehensive,Year 7 to Year 12,Coed,872
5748,Ajuga School,NULL,Unnamed Road,4959,5,2,Schools for Specific Purposes,-33.969521,150.878033,Comprehensive,Emotional disturbance,Coed,NULL
4177,Albert Park Public School,344,Keen Street,4015,5,2,Primary School,-28.821563,153.272498,Comprehensive,Kinder to Year 6,Coed,838
8586,Albion Park High School,27,Scarborough Circuit,88,5,2,Secondary School,-34.576702,150.773359,Comprehensive,Year 7 to Year 12,Coed,956
1015,Albion Park Public School,154,Tongarra Road,88,5,2,Primary School,-34.570257,150.772620,Comprehensive,Kinder to Year 6,Coed,977
4121,Albion Park Rail Public School,16,Gow Avenue,89,5,2,Primary School,-34.567550,150.798668,Comprehensive,Kinder to Year 6,Coed,887
8101,Albury High School,646,Jones Street,90,5,2,Secondary School,-36.072846,146.915442,Comprehensive,Year 7 to Year 12,Coed,1021
3922,Albury North Public School,317,Fallon Street,9385,5,2,Primary School,-36.064177,146.932402,Comprehensive,Kinder to Year 6,Coed,886
1017,Albury Public School,481,David Street,90,5,2,Primary School,-36.082454,146.919253,Comprehensive,Kinder to Year 6,Coed,1055
1019,Albury West Public School,508,Hill Street,13336,5,2,Primary School,-36.077830,146.895548,Comprehensive,Kinder to Year 6,Coed,866
4601,Aldavilla Public School,18,McPhillips Place,5258,5,2,Primary School,-31.055771,152.786972,Comprehensive,Kinder to Year 6,Coed,902
8556,Alexandria Park Community School,9-13,Park Road,106,5,2,Central/Community School,-33.900941,151.195844,Comprehensive,Kinder to Year 12,Coed,1023
4605,Alfords Point Public School,2C,Brushwood Drive,108,5,2,Primary School,-33.992403,151.023990,Comprehensive,Kinder to Year 6,Coed,1060
4200,Allambie Heights Public School,165,Allambie Road,123,5,2,Primary School,-33.766150,151.249208,Comprehensive,Kinder to Year 6,Coed,1127
1028,Alma Public School,24,Comstock Street,1691,5,2,Primary School,-31.982217,141.462443,Comprehensive,Kinder to Year 6,Coed,844
8578,Alstonville High School,14,Cawley Close,160,5,2,Secondary School,-28.838812,153.433756,Comprehensive,Year 7 to Year 12,Coed,1013
1030,Alstonville Public School,3,Bugden Avenue,160,5,2,Primary School,-28.838471,153.438172,Comprehensive,Kinder to Year 6,Coed,1018
8570,Ambarvale High School,NULL,NULL,10824,5,2,Secondary School,-34.099984,150.801938,Comprehensive,Year 7 to Year 12,Coed,928
4505,Ambarvale Public School,23,Lillyvicks Crescent,175,5,2,Primary School,-34.086423,150.798192,Comprehensive,Kinder to Year 6,Coed,927
1040,Anna Bay Public School,191,Gan Gan Road,222,5,2,Primary School,-32.776370,152.089912,Comprehensive,Kinder to Year 6,Coed,970
1042,Annandale North Public School,251,Piper Lane,224,5,2,Primary School,-33.877905,151.171835,Comprehensive,Kinder to Year 6,Coed,1174
1041,Annandale Public School,25,Johnston Street,224,5,2,Primary School,-33.885782,151.169599,Comprehensive,Kinder to Year 6,Coed,1150
3719,Annangrove Public School,189A,Annangrove Road,225,5,2,Primary School,-33.667417,150.952550,Comprehensive,Kinder to Year 6,Coed,1013
5625,Anson Street School,94,Anson Street,9728,5,2,Schools for Specific Purposes,-33.296478,149.097489,Comprehensive,Medium / High Support needs,Coed,NULL
4656,Anzac Park Public School,2,Anzac Avenue,2197,5,2,Primary School,-33.826566,151.210731,Comprehensive,Kinder to Year 6,Coed,NULL
1045,Appin Public School,97,Appin Road,241,5,2,Primary School,-34.198417,150.787660,Comprehensive,Kinder to Year 6,Coed,991
1048,Arcadia Public School,136,Arcadia Road,266,5,2,Primary School,-33.623487,151.051031,Comprehensive,Kinder to Year 6,Coed,1064
4132,Arcadia Vale Public School,36,Brooks Street,268,5,2,Primary School,-33.060231,151.582044,Comprehensive,Kinder to Year 6,Coed,964
1051,Ardlethan Central School,9,Bygoo Street,279,5,2,Central/Community School,-34.354098,146.900557,Comprehensive,Kinder to Year 12,Coed,966
3904,Argenton Public School,23,Victoria Street,286,5,2,Primary School,-32.938493,151.629533,Comprehensive,Kinder to Year 6,Coed,967
1055,Ariah Park Central School,4,Hopetoun Street,291,5,2,Central/Community School,-34.346925,147.218018,Comprehensive,Kinder to Year 12,Coed,983
1057,Armidale City Public School,170,Dangar Street,298,5,2,Primary School,-30.519501,151.664056,Comprehensive,Kinder to Year 6,Coed,1023
8102,Armidale High School,187,Mossman Street,298,5,2,Secondary School,-30.519371,151.650348,Comprehensive,Year 7 to Year 12,Coed,990
7401,Arncliffe Public School,168,Princes Highway,302,5,2,Primary School,-33.940540,151.147550,Comprehensive,Kinder to Year 6,Coed,1026
5103,Arncliffe West Infants School,22,Loftus Street,12575,5,2,Infants School,-33.931832,151.145160,Comprehensive,Kinder to Year 2,Coed,NULL
5538,Arndell School,10,Third Avenue,9465,5,2,Schools for Specific Purposes,-33.803223,151.125535,Comprehensive,Emotional disturbance,Coed,NULL
5656,Arranounbai School,37,Madison Way,123,5,2,Schools for Specific Purposes,-33.756784,151.241291,Comprehensive,Medium / High Support needs,Coed,NULL
1061,Artarmon Public School,1,Abbott Road,314,5,2,Primary School,-33.811249,151.186001,Comprehensive,Kinder to Year 6,Coed,1186
8892,Arthur Phillip High School,177,Macquarie Street,9924,5,2,Secondary School,-33.816386,151.007364,Comprehensive,Year 7 to Year 12,Coed,949
1064,Ashbury Public School,34-76,Trevenar Street,328,5,2,Primary School,-33.898833,151.119440,Comprehensive,Kinder to Year 6,Coed,1107
8397,Ashcroft High School,16,Stanwell Crescent,332,5,2,Secondary School,-33.920414,150.897272,Comprehensive,Year 7 to Year 12,Coed,876
4344,Ashcroft Public School,9,Havard Place,332,5,2,Primary School,-33.916395,150.898390,Comprehensive,Kinder to Year 6,Coed,885
8832,Ashfield Boys High School,113,Liverpool Road,334,5,2,Secondary School,-33.889547,151.129219,Comprehensive,Year 7 to Year 12,Boys,1008
1065,Ashfield Public School,4,Murrell Street,334,5,2,Primary School,-33.889723,151.128210,Comprehensive,Kinder to Year 6,Coed,1066
1066,Ashford Central School,51,Martyn Street,335,5,2,Central/Community School,-29.321262,151.094638,Comprehensive,Kinder to Year 12,Coed,854
4375,Ashmont Public School,74,Ashmont Avenue,339,5,2,Primary School,-35.124467,147.332815,Comprehensive,Kinder to Year 6,Coed,788
4642,Ashtonfield Public School,3,Norfolk Street,343,5,2,Primary School,-32.772442,151.600798,Comprehensive,Kinder to Year 6,Coed,1011
8245,Asquith Boys High School,17,Citrus Avenue,5819,5,2,Secondary School,-33.692276,151.103016,Comprehensive,Year 7 to Year 12,Boys,1046
8222,Asquith Girls High School,32,Baldwin Avenue,350,5,2,Secondary School,-33.689716,151.112750,Comprehensive,Year 7 to Year 12,Girls,1074
1070,Asquith Public School,3,Dudley Street,350,5,2,Primary School,-33.685729,151.112177,Comprehensive,Kinder to Year 6,Coed,1090
3453,Athelstane Public School,12,Athelstane Avenue,302,5,2,Primary School,-33.937445,151.138362,Comprehensive,Kinder to Year 6,Coed,949
1071,Attunga Public School,NULL,NULL,359,5,2,Primary School,-30.930445,150.846575,Comprehensive,Kinder to Year 6,Coed,944
8253,Auburn Girls High School,17,Braemar Avenue,365,5,2,Secondary School,-33.842880,151.033681,Comprehensive,Year 7 to Year 12,Girls,917
1073,Auburn North Public School,100,Adderley Street West,365,5,2,Primary School,-33.841669,151.038618,Comprehensive,Kinder to Year 6,Coed,966
7403,Auburn Public School,NULL,NULL,365,5,2,Primary School,-33.854000,151.032953,Comprehensive,Kinder to Year 6,Coed,929
1075,Auburn West Public School,13,Beaumont Street,365,5,2,Primary School,-33.860931,151.019764,Comprehensive,Kinder to Year 6,Coed,906
8912,Aurora College,4A,Smalls Road,10940,5,2,Secondary School,-33.800017,151.109089,Other,Year 7 to Year 12,Coed,NULL
1076,Austinmer Public School,1,Austinmer Street,377,5,2,Primary School,-34.305398,150.934991,Comprehensive,Kinder to Year 6,Coed,1105
1077,Austral Public School,219,Edmondson Avenue,380,5,2,Primary School,-33.934487,150.812638,Comprehensive,Kinder to Year 6,Coed,953
5104,Australia Street Infants School,229,Australia Street,9279,5,2,Infants School,-33.895783,151.177607,Comprehensive,Kinder to Year 2,Coed,NULL
3792,Avalon Public School,NULL,NULL,387,5,2,Primary School,-33.639377,151.326739,Comprehensive,Kinder to Year 6,Coed,1111
1082,Avoca Beach Public School,91A,The Round Drive,394,5,2,Primary School,-33.471154,151.430745,Comprehensive,Kinder to Year 6,Coed,1094
1081,Avoca Public School,NULL,NULL,393,5,2,Primary School,-34.612697,150.479766,Comprehensive,Kinder to Year 6,Coed,998
1084,Awaba Public School,18,Nellinda Street,406,5,2,Primary School,-33.010554,151.538068,Comprehensive,Kinder to Year 6,Coed,969
5682,Awabakal Environmental Education Centre,31,Boundary Street,3843,5,2,Environmental Education Centre,-32.990629,151.716639,Comprehensive,Environmental Education Centre (formerly Field Stu,Coed,NULL
4291,Balarang Public School,8,Wyang Place,9613,5,2,Primary School,-34.559760,150.831115,Comprehensive,Kinder to Year 6,Coed,952
1098,Bald Blair Public School,2132,Green Hills Road,5240,5,2,Primary School,-30.229893,151.785056,Comprehensive,Kinder to Year 6,Coed,972
3794,Bald Face Public School,84,Stuart Street,1184,5,2,Primary School,-33.996752,151.106905,Comprehensive,Kinder to Year 6,Coed,1103
3736,Balgowlah Heights Public School,12,Radio Avenue,490,5,2,Primary School,-33.805985,151.258754,Comprehensive,Kinder to Year 6,Coed,1190
3984,Balgowlah North Public School,18,Gloucester Street,9391,5,2,Primary School,-33.783267,151.246457,Comprehensive,Kinder to Year 6,Coed,1159
1106,Balgownie Public School,39,Chalmers Street,491,5,2,Primary School,-34.386984,150.872076,Comprehensive,Kinder to Year 6,Coed,1077
1111,Ballimore Public School,25,Bomen Street,523,5,2,Primary School,-32.193596,148.899631,Comprehensive,Kinder to Year 6,Coed,943
8195,Ballina High School,41,Martin Street,524,5,2,Secondary School,-28.866603,153.565058,Comprehensive,Year 7 to Year 12,Coed,890
1112,Ballina Public School,48,Crane Street,524,5,2,Primary School,-28.869724,153.563707,Comprehensive,Kinder to Year 6,Coed,836
7404,Balmain Public School,1,Eaton Street,529,5,2,Primary School,-33.859166,151.183417,Comprehensive,Kinder to Year 6,Coed,1179
1115,Balranald Central School,53-55,We Street,538,5,2,Central/Community School,-34.635575,143.564769,Comprehensive,Kinder to Year 12,Coed,899
1118,Bangalow Public School,45,Byron Street,567,5,2,Primary School,-28.685540,153.525743,Comprehensive,Kinder to Year 6,Coed,1102
4536,Bangor Public School,130,Menai Road,573,5,2,Primary School,-34.019534,151.029118,Comprehensive,Kinder to Year 6,Coed,1064
4571,Banks Public School,182-194,Banks Drive,NULL,5,2,Primary School,-33.793717,150.773098,Comprehensive,Kinder to Year 6,Coed,952
4217,Banksia Road Public School,65,Banksia Road,5248,5,2,Primary School,-33.906898,151.050110,Comprehensive,Kinder to Year 6,Coed,947
1121,Banksmeadow Public School,14,Wiggins Street,1466,5,2,Primary School,-33.953739,151.206610,Comprehensive,Kinder to Year 6,Coed,1039
8254,Bankstown Girls High School,256,Chapel Road South,584,5,2,Secondary School,-33.920754,151.032138,Comprehensive,Year 7 to Year 12,Girls,934
5548,Bankstown Hospital School,21,Artegall Street,584,5,2,Schools for Specific Purposes,-33.933446,151.021069,Comprehensive,Hospital School,Coed,NULL
1124,Bankstown North Public School,9,Davis Lane,14026,5,2,Primary School,-33.904888,151.038043,Comprehensive,Kinder to Year 6,Coed,979
7405,Bankstown Public School,NULL,NULL,584,5,2,Primary School,-33.921122,151.034168,Comprehensive,Kinder to Year 6,Coed,948
8381,Bankstown Senior College,27,High Street,584,5,2,Secondary School,-33.929121,151.022569,Senior College,Year 10 to Year 12,Coed,NULL
5246,Bankstown South Infants School,14,Stacey Street,584,5,2,Infants School,-33.931230,151.038402,Comprehensive,Kinder to Year 2,Coed,NULL
4142,Bankstown West Public School,21,Dutton Street,584,5,2,Primary School,-33.915528,151.019639,Comprehensive,Kinder to Year 6,Coed,992
8282,Banora Point High School,NULL,NULL,593,5,2,Secondary School,-28.215457,153.525324,Comprehensive,Year 7 to Year 12,Coed,957
1129,Banora Point Public School,97,Pioneer Parade,593,5,2,Primary School,-28.222422,153.543702,Comprehensive,Kinder to Year 6,Coed,995
1130,Baradine Central School,17-1,Gardiner Street,605,5,2,Central/Community School,-30.950736,149.070198,Comprehensive,Kinder to Year 12,Coed,787
4311,Bardia Public School,100,Arthur Allen Drive,NULL,5,2,Primary School,-33.975280,150.857923,Comprehensive,Kinder to Year 6,Coed,1013
5148,Bardwell Park Infants School,4,Crewe Lane,618,5,2,Infants School,-33.933428,151.125550,Comprehensive,Kinder to Year 2,Coed,NULL
1131,Barellan Central School,47,Mallee Street,622,5,2,Central/Community School,-34.287799,146.571928,Comprehensive,Kinder to Year 12,Coed,967
1134,Bargo Public School,NULL,NULL,626,5,2,Primary School,-34.292889,150.582740,Comprehensive,Kinder to Year 6,Coed,979
8461,Barham High School,98,Punt Road,627,5,2,Secondary School,-35.623000,144.132055,Comprehensive,Year 7 to Year 12,Coed,979
1135,Barham Public School,61,Noorong Street,627,5,2,Primary School,-35.626915,144.127977,Comprehensive,Kinder to Year 6,Coed,992
1136,Barkers Vale Public School,4501,Kyogle Road,12865,5,2,Primary School,-28.549020,153.149270,Comprehensive,Kinder to Year 6,Coed,978
1137,Barmedman Public School,21,Robertson Street,643,5,2,Primary School,-34.148277,147.385078,Comprehensive,Kinder to Year 6,Coed,866
4599,Barnier Public School,120,Barnier Drive,10448,5,2,Primary School,-33.720510,150.901824,Comprehensive,Kinder to Year 6,Coed,1044
1138,Barnsley Public School,1,Henry Street,656,5,2,Primary School,-32.933094,151.594552,Comprehensive,Kinder to Year 6,Coed,951
1139,Barooga Public School,17,Hughes Street,660,5,2,Primary School,-35.912963,145.695985,Comprehensive,Kinder to Year 6,Coed,963
1140,Barraba Central School,NULL,Memorial Drive,663,5,2,Central/Community School,-30.382390,150.599478,Comprehensive,Kinder to Year 12,Coed,899
4501,Barrack Heights Public School,25,Hunter Street,666,5,2,Primary School,-34.559085,150.846032,Comprehensive,Kinder to Year 6,Coed,870
8454,Barrenjoey High School,1,Coonanga Road,387,5,2,Secondary School,-33.631170,151.333926,Comprehensive,Year 7 to Year 12,Coed,1084
1143,Barrington Public School,28,Skye Road,683,5,2,Primary School,-31.971159,151.911058,Comprehensive,Kinder to Year 6,Coed,1002
5762,Barwon Learning Centre,400,Boston Street,8422,5,2,Schools for Specific Purposes,-29.482103,149.842223,Comprehensive,Behaviour Disorder,Coed,NULL
1146,Baryulgil Public School,7135,Clarence Way,701,5,2,Primary School,-29.223500,152.605615,Comprehensive,Kinder to Year 6,Coed,NULL
8223,Bass High School,106,Johnston Road,709,5,2,Secondary School,-33.897941,150.989379,Comprehensive,Year 7 to Year 12,Coed,908
1148,Bass Hill Public School,17,Horton Street,14026,5,2,Primary School,-33.905902,151.005779,Comprehensive,Kinder to Year 6,Coed,944
4520,Bateau Bay Public School,2A,Waratah Street,713,5,2,Primary School,-33.391771,151.476143,Comprehensive,Kinder to Year 6,Coed,1014
8581,Batemans Bay High School,2,George Bass Drive,714,5,2,Secondary School,-35.729246,150.194447,Comprehensive,Year 7 to Year 12,Coed,932
1149,Batemans Bay Public School,NULL,Mundarra Way,11756,5,2,Primary School,-35.700051,150.188373,Comprehensive,Kinder to Year 6,Coed,897
5647,Bates Drive School,2G,Bates Drive,6313,5,2,Schools for Specific Purposes,-34.022243,151.085270,Comprehensive,Medium / High Support needs,Coed,NULL
1150,Bathurst Public School,191,Lambert Street,720,5,2,Primary School,-33.420942,149.570615,Comprehensive,Kinder to Year 6,Coed,982
3847,Bathurst South Public School,NULL,Havannah Street,720,5,2,Primary School,-33.432989,149.568873,Comprehensive,Kinder to Year 6,Coed,946
3824,Bathurst West Public School,29A,Suttor Street,13340,5,2,Primary School,-33.411002,149.559746,Comprehensive,Kinder to Year 6,Coed,928
1152,Batlow Technology School,90,Pioneer Street,721,5,2,Central/Community School,-35.523007,148.146548,Comprehensive,Kinder to Year 12,Coed,929
8464,Baulkham Hills High School,9A,Christopher Street,728,5,2,Secondary School,-33.750227,150.991499,Comprehensive,Year 7 to Year 12,Coed,1200
4377,Baulkham Hills North Public School,2,Girralong Avenue,728,5,2,Primary School,-33.751927,150.999957,Comprehensive,Kinder to Year 6,Coed,1113
3971,Beacon Hill Public School,6,Tristram Road,754,5,2,Primary School,-33.751630,151.260584,Comprehensive,Kinder to Year 6,Coed,1097
4630,Beaumont Hills Public School,30,The Parkway,772,5,2,Primary School,-33.697809,150.945659,Comprehensive,Kinder to Year 6,Coed,1086
3956,Beaumont Road Public School,26,Lady Game Drive,6515,5,2,Primary School,-33.774289,151.146271,Comprehensive,Kinder to Year 6,Coed,1191
5212,Beauty Point Public School,NULL,NULL,8469,5,2,Primary School,-33.812008,151.241883,Comprehensive,Kinder to Year 6,Coed,1185
1160,Beckom Public School,8,Ariah Street,778,5,2,Primary School,-34.327211,146.962928,Comprehensive,Kinder to Year 6,Coed,947
1164,Bedgerebong Public School,3304,Bedgerabong Road,NULL,5,2,Primary School,-33.361353,147.679318,Comprehensive,Kinder to Year 6,Coed,903
1165,Beechwood Public School,614,Beechwood Road,795,5,2,Primary School,-31.435535,152.680940,Comprehensive,Kinder to Year 6,Coed,972
1166,Beecroft Public School,90-98,Beecroft Road,797,5,2,Primary School,-33.752085,151.064620,Comprehensive,Kinder to Year 6,Coed,1199
1167,Beelbangera Public School,765,Rankins Springs Road,801,5,2,Primary School,-34.252836,146.101067,Comprehensive,Kinder to Year 6,Coed,1010
8165,Bega High School,183,Auckland Street,816,5,2,Secondary School,-36.678459,149.838766,Comprehensive,Year 7 to Year 12,Coed,961
1168,Bega Valley Public School,NULL,NULL,816,5,2,Primary School,-36.670545,149.839095,Comprehensive,Kinder to Year 6,Coed,907
4370,Belair Public School,NULL,NULL,39,5,2,Primary School,-32.946197,151.711766,Comprehensive,Kinder to Year 6,Coed,1094
3979,Bellambi Public School,74,Cawley Street,846,5,2,Primary School,-34.371201,150.914404,Comprehensive,Kinder to Year 6,Coed,872
1175,Bellata Public School,21,Gurley Street,850,5,2,Primary School,-29.918659,149.796216,Comprehensive,Kinder to Year 6,Coed,914
1177,Bellbird Public School,NULL,NULL,852,5,2,Primary School,-32.859421,151.316705,Comprehensive,Kinder to Year 6,Coed,944
1178,Bellbrook Public School,32-40,Main Street,859,5,2,Primary School,-30.819094,152.508698,Comprehensive,Kinder to Year 6,Coed,838
1179,Bellevue Hill Public School,NULL,NULL,865,5,2,Primary School,-33.886986,151.259785,Comprehensive,Kinder to Year 6,Coed,1153
8258,Bellingen High School,1125,Waterfall Way,869,5,2,Secondary School,-30.455123,152.908442,Comprehensive,Year 7 to Year 12,Coed,989
1181,Bellingen Public School,32,William Street,869,5,2,Primary School,-30.453490,152.891887,Comprehensive,Kinder to Year 6,Coed,1006
1182,Belltrees Public School,NULL,NULL,877,5,2,Primary School,-31.988753,151.129487,Comprehensive,Kinder to Year 6,Coed,977
8203,Belmont High School,424,Pacific Highway,879,5,2,Secondary School,-33.027147,151.660114,Comprehensive,Year 7 to Year 12,Coed,978
3927,Belmont North Public School,8,Nikkin Street,880,5,2,Primary School,-33.019974,151.671344,Comprehensive,Kinder to Year 6,Coed,917
1183,Belmont Public School,4,Livingstone Street,879,5,2,Primary School,-33.030134,151.662203,Comprehensive,Kinder to Year 6,Coed,940
8804,Belmore Boys High School,193,Burwood Road,882,5,2,Secondary School,-33.910796,151.085575,Comprehensive,Year 7 to Year 12,Boys,949
1185,Belmore North Public School,172C,Burwood Road,882,5,2,Primary School,-33.909885,151.084885,Comprehensive,Kinder to Year 6,Coed,964
1186,Belmore South Public School,20,Victory Street,882,5,2,Primary School,-33.925735,151.091985,Comprehensive,Kinder to Year 6,Coed,970
3748,Belrose Public School,26,Ralston Avenue,887,5,2,Primary School,-33.727235,151.216645,Comprehensive,Kinder to Year 6,Coed,1115
1189,Bemboka Public School,35-45,Kameruka Street,894,5,2,Primary School,-36.631309,149.571075,Comprehensive,Kinder to Year 6,Coed,950
1196,Ben Lomond Public School,566,Inn Road,899,5,2,Primary School,-30.017024,151.661287,Comprehensive,Kinder to Year 6,Coed,1002
1198,Ben Venue Public School,92,Erskine Street,298,5,2,Primary School,-30.502884,151.674620,Comprehensive,Kinder to Year 6,Coed,1022
1191,Bendemeer Public School,17-27,Charles Street,916,5,2,Primary School,-30.886984,151.150991,Comprehensive,Kinder to Year 6,Coed,904
4285,Bennett Road Public School,100-114,Bennett Road,2877,5,2,Primary School,-33.783499,150.792462,Comprehensive,Kinder to Year 6,Coed,908
1199,Berala Public School,216,Harrow Road,947,5,2,Primary School,-33.869714,151.028244,Comprehensive,Kinder to Year 6,Coed,1000
1201,Beresfield Public School,55,Ruskin Street,951,5,2,Primary School,-32.803964,151.654863,Comprehensive,Kinder to Year 6,Coed,916
4405,Beresford Road Public School,74,Beresford Road,5308,5,2,Primary School,-33.814864,150.942945,Comprehensive,Kinder to Year 6,Coed,1013
4450,Berinba Public School,22,Petit Street,14151,5,2,Primary School,-34.849095,148.918959,Comprehensive,Kinder to Year 6,Coed,999
1202,Berkeley Public School,358,Flagstaff Road,955,5,2,Primary School,-34.480214,150.856493,Comprehensive,Kinder to Year 6,Coed,906
1203,Berkeley Vale Public School,6,Pindarri Avenue,956,5,2,Primary School,-33.350515,151.435888,Comprehensive,Kinder to Year 6,Coed,990
4180,Berkeley West Public School,NULL,NULL,955,5,2,Primary School,-34.475497,150.841000,Comprehensive,Kinder to Year 6,Coed,900
1204,Bermagui Public School,NULL,NULL,960,5,2,Primary School,-36.420776,150.063625,Comprehensive,Kinder to Year 6,Coed,928
1205,Berowra Public School,9,High Street,962,5,2,Primary School,-33.618522,151.148996,Comprehensive,Kinder to Year 6,Coed,1095
1206,Berridale Public School,22,Mary Street,970,5,2,Primary School,-36.371444,148.827209,Comprehensive,Kinder to Year 6,Coed,986
1207,Berrigan Public School,25-29,Momalong Street,973,5,2,Primary School,-35.659667,145.815664,Comprehensive,Kinder to Year 6,Coed,952
1209,Berrima Public School,1,Quarry Street,975,5,2,Primary School,-34.485882,150.340775,Comprehensive,Kinder to Year 6,Coed,1027
1211,Berry Public School,16,Clarence Street,982,5,2,Primary School,-34.778317,150.689706,Comprehensive,Kinder to Year 6,Coed,1069
4192,Bert Oldfield Public School,74,Wall Park Avenue,11149,5,2,Primary School,-33.777505,150.924537,Comprehensive,Kinder to Year 6,Coed,1008
5508,Beverley Park School,10,Tyler Street,2214,5,2,Schools for Specific Purposes,-34.062208,150.824219,Comprehensive,Medium / High Support needs,Coed,NULL
8255,Beverly Hills Girls High School,454,A3,1012,5,2,Secondary School,-33.948461,151.078627,Comprehensive,Year 7 to Year 12,Girls,1001
3944,Beverly Hills North Public School,13,Beggs Street,10822,5,2,Primary School,-33.940606,151.074837,Comprehensive,Kinder to Year 6,Coed,1035
1215,Beverly Hills Public School,9,Edmund Street,1012,5,2,Primary School,-33.953449,151.085209,Comprehensive,Kinder to Year 6,Coed,1050
1217,Bexhill Public School,12,Withers Street,1014,5,2,Primary School,-28.766026,153.345835,Comprehensive,Kinder to Year 6,Coed,1037
2308,Bexley North Public School,116,Kingsland Road North,1016,5,2,Primary School,-33.940838,151.120374,Comprehensive,Kinder to Year 6,Coed,1091
7406,Bexley Public School,200,Frederick Street,10744,5,2,Primary School,-33.947687,151.128861,Comprehensive,Kinder to Year 6,Coed,975
4206,Biddabah Public School,45,Medcalf Street,13089,5,2,Primary School,-32.966054,151.641812,Comprehensive,Kinder to Year 6,Coed,1013
4480,Bidwill Public School,32,Bunya Road,1033,5,2,Primary School,-33.733547,150.825934,Comprehensive,Kinder to Year 6,Coed,843
1223,Bigga Public School,NULL,Binda Street,1043,5,2,Primary School,-34.084700,149.144602,Comprehensive,Kinder to Year 6,Coed,1022
1224,Bilambil Public School,418,Bilambil Road,1048,5,2,Primary School,-28.223742,153.468431,Comprehensive,Kinder to Year 6,Coed,990
4359,Bilgola Plateau Public School,148A,Plateau Road,NULL,5,2,Primary School,-33.644021,151.313406,Comprehensive,Kinder to Year 6,Coed,1131
8503,Billabong High School,64,Munro Street,3315,5,2,Secondary School,-35.660874,147.043931,Comprehensive,Year 7 to Year 12,Coed,941
1228,Bilpin Public School,2517,Bells Line of Road,1065,5,2,Primary School,-33.497331,150.516765,Comprehensive,Kinder to Year 6,Coed,1022
1230,Binalong Public School,NULL,NULL,1072,5,2,Primary School,-34.670108,148.625718,Comprehensive,Kinder to Year 6,Coed,976
1231,Binda Public School,21,Queen Street,1075,5,2,Primary School,-34.331463,149.368114,Comprehensive,Kinder to Year 6,Coed,776
1234,Bingara Central School,55,Finch Street,1083,5,2,Central/Community School,-29.866705,150.567250,Comprehensive,Kinder to Year 12,Coed,912
1237,Binnaway Central School,2,Myall Street,1096,5,2,Central/Community School,-31.552793,149.374951,Comprehensive,Kinder to Year 12,Coed,832
1238,Binya Public School,16,Stephensons Road,1100,5,2,Primary School,-34.228678,146.353034,Comprehensive,Kinder to Year 6,Coed,1011
3988,Biraban Public School,2,Beckley Street,12403,5,2,Primary School,-33.008389,151.576296,Comprehensive,Kinder to Year 6,Coed,853
1240,Birchgrove Public School,29,Gow Street,529,5,2,Primary School,-33.853009,151.177045,Comprehensive,Kinder to Year 6,Coed,1156
8213,Birrong Boys High School,13,Rodd Street,1122,5,2,Secondary School,-33.894047,151.025024,Comprehensive,Year 7 to Year 12,Boys,903
8854,Birrong Girls High School,14,Cooper Road,1122,5,2,Secondary School,-33.889480,151.025708,Comprehensive,Year 7 to Year 12,Girls,948
4057,Birrong Public School,7,Gazzard Street,1122,5,2,Primary School,-33.895596,151.020070,Comprehensive,Kinder to Year 6,Coed,980
1247,Black Hill Public School,408,Black Hill Road,1132,5,2,Primary School,-32.838523,151.617131,Comprehensive,Kinder to Year 6,Coed,1009
1249,Black Mountain Public School,815,Black Mountain Road,1136,5,2,Primary School,-30.308489,151.657688,Comprehensive,Kinder to Year 6,Coed,976
4190,Black Springs Public School,17,Avoca Street,1143,5,2,Primary School,-33.845694,149.741982,Comprehensive,Kinder to Year 6,Coed,928
3966,Blackalls Park Public School,43,Charles Street,1146,5,2,Primary School,-32.998435,151.577743,Comprehensive,Kinder to Year 6,Coed,936
4453,Blackett Public School,47-59,Boldrewood Road,1155,5,2,Primary School,-33.739605,150.815858,Comprehensive,Kinder to Year 6,Coed,853
1246,Blackheath Public School,76,Wentworth Street,1159,5,2,Primary School,-33.639284,150.285831,Comprehensive,Kinder to Year 6,Coed,1077
